size,sortedness,uniqueRatio,bestAlgorithm,datasetType
160,49.69,0.9938,Insertion,Random
91,52.22,1.0000,Insertion,Random
18,58.82,1.0000,Insertion,Random
265,49.62,0.9925,Quick,Random
164,47.85,0.9878,Insertion,Random
495,49.80,0.9798,Quick,Random
122,52.07,1.0000,Insertion,Random
330,50.46,0.9818,Quick,Random
134,49.62,0.9925,Insertion,Random
183,47.80,0.9891,Insertion,Random
452,51.66,0.9867,Quick,Random
86,48.24,1.0000,Insertion,Random
154,51.63,0.9935,Insertion,Random
244,48.56,0.9754,Insertion,Random
291,47.93,0.9931,Insertion,Random
223,48.65,0.9910,Insertion,Random
373,50.81,0.9839,Quick,Random
262,49.43,0.9847,Insertion,Random
33,46.88,1.0000,Insertion,Random
15,64.29,1.0000,Insertion,Random
380,49.87,0.9763,Quick,Random
223,49.10,1.0000,Insertion,Random
270,50.19,0.9741,Insertion,Random
239,50.84,0.9916,Insertion,Random
171,51.18,0.9766,Insertion,Random
126,56.00,1.0000,Insertion,Random
239,47.90,0.9916,Insertion,Random
308,49.19,0.9838,Insertion,Random
261,53.46,0.9847,Quick,Random
231,49.57,1.0000,Insertion,Random
20,63.16,1.0000,Insertion,Random
154,56.21,0.9935,Insertion,Random
132,54.20,1.0000,Insertion,Random
120,47.90,1.0000,Insertion,Random
472,48.20,0.9894,Quick,Random
295,47.62,0.9763,Quick,Random
473,50.00,0.9746,Quick,Random
301,49.67,0.9701,Quick,Random
358,49.30,0.9916,Quick,Random
48,38.30,1.0000,Insertion,Random
372,50.94,0.9866,Quick,Random
44,53.49,1.0000,Insertion,Random
361,49.17,0.9751,Quick,Random
190,52.38,0.9895,Insertion,Random
150,46.98,0.9933,Insertion,Random
31,50.00,1.0000,Insertion,Random
226,47.56,0.9823,Insertion,Random
176,54.29,0.9830,Insertion,Random
329,48.78,0.9878,Quick,Random
205,50.00,0.9854,Insertion,Random
227,50.00,0.9912,Insertion,Random
290,49.48,0.9966,Quick,Random
244,50.21,0.9877,Insertion,Random
231,50.87,0.9957,Quick,Random
493,50.20,0.9797,Quick,Random
108,50.47,0.9907,Insertion,Random
73,52.78,1.0000,Insertion,Random
108,47.66,1.0000,Insertion,Random
308,51.47,1.0000,Insertion,Random
174,50.87,1.0000,Insertion,Random
327,49.69,0.9755,Quick,Random
309,50.00,0.9871,Quick,Random
128,48.82,1.0000,Insertion,Random
84,54.22,0.9762,Insertion,Random
413,50.24,0.9806,Quick,Random
439,50.46,0.9727,Quick,Random
128,44.88,1.0000,Insertion,Random
44,51.16,1.0000,Insertion,Random
459,50.87,0.9782,Quick,Random
42,53.66,1.0000,Insertion,Random
422,49.88,0.9834,Quick,Random
301,51.33,0.9834,Quick,Random
106,46.67,1.0000,Insertion,Random
76,49.33,1.0000,Insertion,Random
330,49.85,0.9909,Quick,Random
282,51.25,0.9929,Quick,Random
483,49.17,0.9731,Quick,Random
250,49.40,0.9840,Insertion,Random
286,50.88,0.9825,Insertion,Random
247,51.22,0.9879,Insertion,Random
61,46.67,1.0000,Insertion,Random
209,51.44,0.9713,Insertion,Random
429,50.93,0.9860,Quick,Random
332,51.36,0.9880,Quick,Random
48,53.19,1.0000,Insertion,Random
214,51.17,0.9953,Quick,Random
426,50.35,0.9765,Quick,Random
68,53.73,1.0000,Insertion,Random
324,50.15,0.9907,Quick,Random
38,45.95,0.9737,Insertion,Random
49,47.92,1.0000,Insertion,Random
262,51.34,0.9847,Insertion,Random
274,49.45,0.9854,Insertion,Random
426,49.65,0.9836,Quick,Random
363,50.00,0.9917,Quick,Random
400,49.62,0.9900,Quick,Random
59,55.17,1.0000,Insertion,Random
303,50.66,0.9736,Quick,Random
303,48.34,0.9868,Quick,Random
430,50.12,0.9721,Quick,Random
52,47.06,1.0000,Insertion,Random
281,50.36,0.9858,Quick,Random
209,48.08,0.9809,Insertion,Random
151,50.00,1.0000,Insertion,Random
260,49.42,0.9846,Insertion,Random
77,55.26,1.0000,Insertion,Random
261,50.77,0.9885,Insertion,Random
423,52.13,0.9740,Quick,Random
400,51.63,0.9675,Quick,Random
109,52.78,0.9908,Insertion,Random
98,56.70,1.0000,Insertion,Random
378,51.46,0.9683,Quick,Random
293,51.03,0.9898,Quick,Random
286,50.53,0.9790,Insertion,Random
329,50.00,0.9818,Quick,Random
280,47.67,0.9893,Insertion,Random
260,52.12,0.9923,Quick,Random
418,53.24,0.9809,Quick,Random
112,46.85,0.9911,Insertion,Random
69,55.88,0.9855,Insertion,Random
75,51.35,1.0000,Insertion,Random
344,51.60,0.9855,Quick,Random
386,48.05,0.9948,Quick,Random
222,53.39,0.9820,Quick,Random
171,50.00,0.9825,Insertion,Random
416,50.84,0.9712,Quick,Random
121,49.17,1.0000,Insertion,Random
278,51.99,0.9748,Insertion,Random
16,46.67,1.0000,Bubble,Random
216,49.77,0.9907,Insertion,Random
57,46.43,1.0000,Insertion,Random
277,50.00,0.9783,Insertion,Random
308,47.56,0.9903,Quick,Random
346,51.30,0.9884,Quick,Random
222,47.96,0.9955,Quick,Random
463,49.13,0.9806,Quick,Random
49,47.92,1.0000,Insertion,Random
459,51.09,0.9782,Quick,Random
136,49.63,0.9706,Insertion,Random
321,48.12,0.9720,Quick,Random
296,49.49,0.9764,Quick,Random
175,50.00,0.9886,Insertion,Random
221,50.91,0.9910,Quick,Random
129,52.34,1.0000,Insertion,Random
251,46.80,0.9960,Insertion,Random
232,48.92,0.9871,Insertion,Random
335,49.10,0.9731,Quick,Random
365,47.53,0.9863,Quick,Random
155,47.40,0.9935,Insertion,Random
490,49.28,0.9755,Quick,Random
324,53.87,0.9846,Quick,Random
114,51.33,0.9912,Insertion,Random
276,50.55,0.9964,Insertion,Random
54,54.72,1.0000,Insertion,Random
475,50.21,0.9832,Quick,Random
17,43.75,1.0000,Bubble,Random
390,50.39,0.9795,Quick,Random
189,51.06,1.0000,Insertion,Random
255,52.76,0.9843,Insertion,Random
86,48.24,0.9884,Insertion,Random
178,50.28,0.9888,Insertion,Random
185,52.72,0.9946,Insertion,Random
392,50.90,0.9719,Quick,Random
172,48.54,0.9826,Insertion,Random
433,51.62,0.9769,Quick,Random
369,48.91,0.9783,Quick,Random
273,51.84,0.9853,Insertion,Random
300,52.17,0.9900,Quick,Random
226,51.56,0.9823,Insertion,Random
109,42.59,1.0000,Insertion,Random
187,55.38,0.9786,Insertion,Random
332,51.06,0.9789,Quick,Random
35,47.06,1.0000,Insertion,Random
284,48.76,0.9859,Quick,Random
363,50.83,0.9917,Quick,Random
453,49.56,0.9713,Quick,Random
119,48.31,1.0000,Insertion,Random
429,48.83,0.9883,Quick,Random
185,52.72,0.9892,Insertion,Random
453,48.23,0.9823,Quick,Random
195,49.48,0.9795,Insertion,Random
366,50.14,0.9891,Quick,Random
105,50.96,1.0000,Insertion,Random
254,49.01,0.9961,Insertion,Random
144,52.45,0.9861,Insertion,Random
246,48.98,0.9959,Quick,Random
432,48.49,0.9884,Quick,Random
97,47.92,1.0000,Insertion,Random
352,51.28,0.9830,Quick,Random
312,47.59,0.9776,Quick,Random
328,50.76,0.9909,Quick,Random
212,49.29,0.9906,Insertion,Random
453,50.66,0.9868,Quick,Random
358,48.18,0.9804,Insertion,Random
32,54.84,1.0000,Insertion,Random
215,48.13,0.9814,Insertion,Random
365,53.57,0.9836,Quick,Random
233,55.17,0.9871,Insertion,Random
287,53.85,0.9826,Quick,Random
354,50.42,0.9802,Quick,Random
392,49.87,0.9872,Quick,Random
431,51.40,0.9722,Quick,Random
377,51.86,0.9894,Quick,Random
436,49.89,0.9679,Quick,Random
92,47.25,1.0000,Insertion,Random
415,48.79,0.9855,Quick,Random
183,48.90,0.9891,Insertion,Random
247,51.63,0.9838,Insertion,Random
151,50.00,0.9735,Insertion,Random
460,48.15,0.9804,Quick,Random
168,48.50,0.9940,Insertion,Random
491,48.98,0.9776,Quick,Random
229,50.44,0.9738,Insertion,Random
22,47.62,1.0000,Insertion,Random
295,51.02,0.9932,Quick,Random
27,57.69,1.0000,Insertion,Random
234,50.21,0.9915,Quick,Random
328,49.54,0.9939,Quick,Random
249,50.81,0.9960,Quick,Random
231,46.96,0.9870,Insertion,Random
437,49.31,0.9840,Quick,Random
308,52.12,0.9870,Quick,Random
487,48.56,0.9795,Quick,Random
113,50.00,0.9912,Insertion,Random
448,50.11,0.9777,Quick,Random
346,50.43,0.9711,Quick,Random
464,51.19,0.9849,Quick,Random
478,52.41,0.9665,Quick,Random
484,49.28,0.9731,Quick,Random
443,48.42,0.9842,Quick,Random
481,48.75,0.9771,Quick,Random
351,50.00,0.9829,Quick,Random
68,50.75,1.0000,Insertion,Random
322,48.91,0.9907,Quick,Random
489,49.39,0.9714,Quick,Random
58,47.37,1.0000,Insertion,Random
230,51.97,0.9913,Insertion,Random
113,49.11,0.9912,Insertion,Random
68,53.73,1.0000,Insertion,Random
29,57.14,1.0000,Insertion,Random
104,54.37,1.0000,Insertion,Random
378,48.81,0.9921,Quick,Random
414,48.18,0.9686,Quick,Random
127,53.97,0.9921,Insertion,Random
120,45.38,1.0000,Insertion,Random
265,48.86,0.9736,Insertion,Random
66,47.69,1.0000,Insertion,Random
286,50.53,0.9930,Quick,Random
92,50.55,1.0000,Insertion,Random
97,51.04,0.9897,Insertion,Random
280,48.03,0.9750,Insertion,Random
311,48.71,1.0000,Quick,Random
22,61.90,1.0000,Bubble,Random
100,51.52,0.9900,Insertion,Random
319,48.43,0.9843,Insertion,Random
32,48.39,1.0000,Insertion,Random
311,50.97,0.9807,Quick,Random
47,45.65,1.0000,Insertion,Random
405,49.01,0.9728,Quick,Random
331,48.48,0.9940,Quick,Random
72,46.48,1.0000,Insertion,Random
465,49.57,0.9806,Quick,Random
442,50.11,0.9819,Quick,Random
387,47.67,0.9742,Quick,Random
54,47.17,1.0000,Insertion,Random
235,47.01,0.9872,Insertion,Random
205,49.02,0.9951,Insertion,Random
155,46.75,0.9935,Insertion,Random
430,49.18,0.9837,Quick,Random
334,49.55,0.9880,Quick,Random
304,51.82,0.9868,Quick,Random
207,50.97,0.9903,Insertion,Random
319,47.48,0.9937,Insertion,Random
170,47.93,1.0000,Quick,Random
303,51.66,0.9868,Insertion,Random
242,48.55,0.9876,Insertion,Random
481,50.00,0.9730,Quick,Random
307,48.37,0.9772,Quick,Random
13,50.00,1.0000,Bubble,Random
372,50.40,0.9785,Quick,Random
350,49.28,0.9914,Quick,Random
460,51.20,0.9739,Quick,Random
198,45.69,0.9949,Quick,Random
84,53.01,0.9881,Insertion,Random
416,50.36,0.9760,Quick,Random
208,48.79,0.9856,Insertion,Random
84,53.01,0.9881,Insertion,Random
83,50.00,1.0000,Insertion,Random
463,50.00,0.9676,Quick,Random
83,50.00,1.0000,Insertion,Random
89,47.73,1.0000,Insertion,Random
180,51.96,0.9722,Insertion,Random
347,50.00,0.9798,Quick,Random
470,51.60,0.9766,Quick,Random
404,51.36,0.9827,Quick,Random
499,50.20,0.9659,Quick,Random
383,47.64,0.9869,Quick,Random
123,46.72,0.9919,Insertion,Random
160,48.43,0.9812,Insertion,Random
117,55.17,1.0000,Insertion,Random
121,48.33,1.0000,Insertion,Random
484,49.69,0.9855,Quick,Random
60,47.46,1.0000,Insertion,Random
497,51.61,0.9819,Quick,Random
170,47.93,1.0000,Insertion,Random
450,47.22,0.9711,Quick,Random
272,48.71,0.9779,Insertion,Random
496,47.88,0.9698,Quick,Random
